('MLA1608095574', 'MLA', 'MicroondasRotativoPhilcoWphrw20an700w20l', '125999', '500', 'http://http2.mlstatic.com/D_618439-MLU73409943778_122023-I.jpg', '2024-02-26')
('MLA1375093303', 'MLA', 'MicroondasGrillAtmaMd1823gnAceroInoxidable23l220v', '185999', '100', 'http://http2.mlstatic.com/D_771900-MLU72749129484_112023-I.jpg', '2024-02-26')
('MLA1148121018', 'MLA', 'MicroondasGrillSanseiMdgsa28npiBlanco28l220v', '121999', '250', 'http://http2.mlstatic.com/D_988505-MLU72569156774_112023-I.jpg', '2024-02-26')
('MLA1150996525', 'MLA', 'MicroondasGrillBghB228dn20Negro28l220v', '217999', '50', 'http://http2.mlstatic.com/D_852961-MLU73199744645_122023-I.jpg', '2024-02-26')
('MLA1542209896', 'MLA', 'MicroondasPhilco91mpg8428npi28LitrosConGrillColorBlanco', '144999', '100', 'http://http2.mlstatic.com/D_690832-MLU72579410270_112023-I.jpg', '2024-02-26')
('MLA1246671369', 'MLA', 'MicroondasKelvinatorK20digSilver20l220v', '151999', '50', 'http://http2.mlstatic.com/D_743427-MLA46258145936_062021-I.jpg', '2024-02-26')
('MLA1605273418', 'MLA', 'MicroondaPhilcoMpd8620700w20litrosDigital', '134999', '250', 'http://http2.mlstatic.com/D_665116-MLA74221380769_012024-I.jpg', '2024-02-26')
('MLA1118668428', 'MLA', 'MicroondasPhilcoMpr8520npiBlanco20l220v', '124999', '250', 'http://http2.mlstatic.com/D_982917-MLA52930801098_122022-I.jpg', '2024-02-26')
('MLA1401237250', 'MLA', 'MicroondasSanseiMdsa20npiBlanco20l220v', '108999', '100', 'http://http2.mlstatic.com/D_750974-MLU72575025004_112023-I.jpg', '2024-02-26')
('MLA848014571', 'MLA', 'MicroondasAtmaEasyCookMd1720n700wBlanco20l220v', '127199', '150', 'http://http2.mlstatic.com/D_797289-MLA40172152547_122019-I.jpg', '2024-02-26')
('MLA1388958159', 'MLA', 'MicroondasSamsung20LitrosBlancoMe731k-kd', '232099', '50', 'http://http2.mlstatic.com/D_646224-MLA46794084190_072021-I.jpg', '2024-02-26')
('MLA1584748484', 'MLA', 'Microondas29LitrosDigitalConGrillRcaRw29dg900w', '179999', '50', 'http://http2.mlstatic.com/D_888786-MLU72605991310_112023-I.jpg', '2024-02-26')
('MLA1148307005', 'MLA', 'MicroondasSanseiMrsa20npiBlanco20l220v', '105999', '250', 'http://http2.mlstatic.com/D_995727-MLU74610384179_022024-I.jpg', '2024-02-26')
('MLA1309714612', 'MLA', 'MicroondasAuroraMecánicoColorNegro20L', '155399', '150', 'http://http2.mlstatic.com/D_996869-MLU72745883950_112023-I.jpg', '2024-02-26')
